date,lineage,country,artist2,stream_count,color,lineage_color
2020-10-31,Asian,Chinese,Lexie Liu,8631303,#ffc60a,#D9734E
2020-11-30,Asian,Chinese,Lexie Liu,13055260,#ffc60a,#D9734E
2020-11-30,Asian,Filipino,Abra,11066606,#005799,#D9734E
2020-02-29,Asian,Filipino,Beabadoobee,36689802,#005799,#D9734E
2020-03-31,Asian,Filipino,Beabadoobee,92440408,#005799,#D9734E
2020-04-30,Asian,Filipino,Beabadoobee,119012645,#005799,#D9734E
2020-05-31,Asian,Filipino,Beabadoobee,136267121,#005799,#D9734E
2020-06-30,Asian,Filipino,Beabadoobee,93521621,#005799,#D9734E
2020-07-31,Asian,Filipino,Beabadoobee,92700510,#005799,#D9734E
2020-08-31,Asian,Filipino,Beabadoobee,58315062,#005799,#D9734E
2020-09-30,Asian,Filipino,Beabadoobee,47876739,#005799,#D9734E
2020-10-31,Asian,Filipino,Beabadoobee,50682883,#005799,#D9734E
2020-11-30,Asian,Filipino,Beabadoobee,34231889,#005799,#D9734E
2020-12-31,Asian,Filipino,Beabadoobee,34903730,#005799,#D9734E
2021-01-31,Asian,Filipino,Beabadoobee,40796800,#005799,#D9734E
2021-02-28,Asian,Filipino,Beabadoobee,31236584,#005799,#D9734E
2021-03-31,Asian,Filipino,Beabadoobee,29607435,#005799,#D9734E
2021-04-30,Asian,Filipino,Beabadoobee,33195690,#005799,#D9734E
2021-05-31,Asian,Filipino,Beabadoobee,24319960,#005799,#D9734E
2021-06-30,Asian,Filipino,Beabadoobee,22598858,#005799,#D9734E
2021-07-31,Asian,Filipino,Beabadoobee,21251113,#005799,#D9734E
2021-05-31,Asian,Filipino,Bella Poarch,49681733,#005799,#D9734E
2021-06-30,Asian,Filipino,Bella Poarch,66471333,#005799,#D9734E
2021-07-31,Asian,Filipino,Bella Poarch,47228196,#005799,#D9734E
2016-12-31,Asian,Filipino,Kai,3684307,#005799,#D9734E
2017-01-31,Asian,Filipino,Kai,11408808,#005799,#D9734E
2017-02-28,Asian,Filipino,Kai,6037183,#005799,#D9734E
2016-12-31,Asian,Filipino,Kyla,29578593,#005799,#D9734E
2017-01-31,Asian,Filipino,Kyla,49130283,#005799,#D9734E
2017-02-28,Asian,Filipino,Kyla,42355419,#005799,#D9734E
2017-03-31,Asian,Filipino,Kyla,40798234,#005799,#D9734E
2017-04-30,Asian,Filipino,Kyla,28088554,#005799,#D9734E
2017-05-31,Asian,Filipino,Kyla,20045590,#005799,#D9734E
2017-06-30,Asian,Filipino,Kyla,24381883,#005799,#D9734E
2017-07-31,Asian,Filipino,Kyla,21524286,#005799,#D9734E
2017-08-31,Asian,Filipino,Kyla,19586811,#005799,#D9734E
2017-09-30,Asian,Filipino,Kyla,23061572,#005799,#D9734E
2017-10-31,Asian,Filipino,Kyla,17914386,#005799,#D9734E
2017-11-30,Asian,Filipino,Kyla,17060144,#005799,#D9734E
2017-12-31,Asian,Filipino,Kyla,22973561,#005799,#D9734E
2018-01-31,Asian,Filipino,Kyla,18306664,#005799,#D9734E
2018-02-28,Asian,Filipino,Kyla,19489847,#005799,#D9734E
2018-03-31,Asian,Filipino,Kyla,24752261,#005799,#D9734E
2018-04-30,Asian,Filipino,Kyla,20706793,#005799,#D9734E
2018-05-31,Asian,Filipino,Kyla,20001575,#005799,#D9734E
2018-06-30,Asian,Filipino,Kyla,23471935,#005799,#D9734E
2018-07-31,Asian,Filipino,Kyla,17652878,#005799,#D9734E
2018-08-31,Asian,Filipino,Kyla,21316319,#005799,#D9734E
2018-09-30,Asian,Filipino,Kyla,8019536,#005799,#D9734E
2018-10-31,Asian,Filipino,Kyla,4005668,#005799,#D9734E
2021-04-30,Asian,Filipino,Kyla,9987786,#005799,#D9734E
2021-05-31,Asian,Filipino,Kyla,21728948,#005799,#D9734E
2021-06-30,Asian,Filipino,Kyla,21539419,#005799,#D9734E
2021-07-31,Asian,Filipino,Kyla,20877178,#005799,#D9734E
2021-05-31,Asian,Japanese,Dream,5156496,#30916f,#D9734E
2017-12-31,Asian,Japanese,Earth,3476906,#30916f,#D9734E
2018-09-30,Asian,Japanese,Earth,5131415,#30916f,#D9734E
2019-09-30,Asian,Japanese,Earth,4986728,#30916f,#D9734E
2020-09-30,Asian,Japanese,Earth,5329256,#30916f,#D9734E
2018-09-30,Asian,Japanese,Joji,20279571,#30916f,#D9734E
2018-10-31,Asian,Japanese,Joji,30455793,#30916f,#D9734E
2018-11-30,Asian,Japanese,Joji,9386828,#30916f,#D9734E
2019-06-30,Asian,Japanese,Joji,24332854,#30916f,#D9734E
2019-07-31,Asian,Japanese,Joji,11196156,#30916f,#D9734E
2019-09-30,Asian,Japanese,Joji,9392359,#30916f,#D9734E
2019-10-31,Asian,Japanese,Joji,18833290,#30916f,#D9734E
2019-11-30,Asian,Japanese,Joji,18155524,#30916f,#D9734E
2019-12-31,Asian,Japanese,Joji,10038436,#30916f,#D9734E
2020-01-31,Asian,Japanese,Joji,10003958,#30916f,#D9734E
2020-02-29,Asian,Japanese,Joji,36220545,#30916f,#D9734E
2020-04-30,Asian,Japanese,Joji,27480354,#30916f,#D9734E
