,month_yr,variable,value
1,2016-12,Spotify Top 200 US,10.0
4,2017-01,Spotify Top 200 US,16.0
7,2017-02,Spotify Top 200 US,20.0
10,2017-03,Spotify Top 200 US,19.0
13,2017-04,Spotify Top 200 US,13.0
16,2017-05,Spotify Top 200 US,14.0
19,2017-06,Spotify Top 200 US,18.0
22,2017-07,Spotify Top 200 US,14.0
25,2017-08,Spotify Top 200 US,11.0
28,2017-09,Spotify Top 200 US,17.0
31,2017-10,Spotify Top 200 US,12.0
34,2017-11,Spotify Top 200 US,9.0
37,2017-12,Spotify Top 200 US,10.0
40,2018-01,Spotify Top 200 US,10.0
43,2018-02,Spotify Top 200 US,12.0
46,2018-03,Spotify Top 200 US,12.0
49,2018-04,Spotify Top 200 US,2.0
52,2018-05,Spotify Top 200 US,5.0
55,2018-06,Spotify Top 200 US,8.0
58,2018-07,Spotify Top 200 US,5.0
61,2018-08,Spotify Top 200 US,15.0
64,2018-09,Spotify Top 200 US,13.0
67,2018-10,Spotify Top 200 US,18.0
70,2018-11,Spotify Top 200 US,16.0
73,2018-12,Spotify Top 200 US,11.0
76,2019-01,Spotify Top 200 US,13.0
79,2019-02,Spotify Top 200 US,14.0
82,2019-03,Spotify Top 200 US,20.0
85,2019-04,Spotify Top 200 US,29.0
88,2019-05,Spotify Top 200 US,21.0
91,2019-06,Spotify Top 200 US,10.0
94,2019-07,Spotify Top 200 US,1.0
97,2019-08,Spotify Top 200 US,2.0
100,2019-09,Spotify Top 200 US,3.0
103,2019-10,Spotify Top 200 US,7.0
106,2019-11,Spotify Top 200 US,10.0
109,2019-12,Spotify Top 200 US,5.0
112,2020-01,Spotify Top 200 US,13.0
115,2020-02,Spotify Top 200 US,20.0
118,2020-03,Spotify Top 200 US,12.0
121,2020-04,Spotify Top 200 US,12.0
124,2020-05,Spotify Top 200 US,7.0
127,2020-06,Spotify Top 200 US,9.0
130,2020-07,Spotify Top 200 US,10.0
133,2020-08,Spotify Top 200 US,12.0
136,2020-09,Spotify Top 200 US,30.0
140,2020-10,Spotify Top 200 US,30.0
144,2020-11,Spotify Top 200 US,21.0
148,2020-12,Spotify Top 200 US,10.0
152,2021-01,Spotify Top 200 US,23.0
156,2021-02,Spotify Top 200 US,21.0
160,2021-03,Spotify Top 200 US,21.0
164,2021-04,Spotify Top 200 US,28.0
168,2021-05,Spotify Top 200 US,48.0
172,2021-06,Spotify Top 200 US,60.0
176,2021-07,Spotify Top 200 US,62.0
179,2016-12,Spotify Top 200 Global,10.0
182,2017-01,Spotify Top 200 Global,20.0
185,2017-02,Spotify Top 200 Global,22.0
188,2017-03,Spotify Top 200 Global,25.0
191,2017-04,Spotify Top 200 Global,17.0
194,2017-05,Spotify Top 200 Global,14.0
197,2017-06,Spotify Top 200 Global,12.0
200,2017-07,Spotify Top 200 Global,12.0
203,2017-08,Spotify Top 200 Global,9.0
206,2017-09,Spotify Top 200 Global,12.0
209,2017-10,Spotify Top 200 Global,8.0
212,2017-11,Spotify Top 200 Global,5.0
215,2017-12,Spotify Top 200 Global,13.0
218,2018-01,Spotify Top 200 Global,8.0
221,2018-02,Spotify Top 200 Global,11.0
