date,artist,rank,country,lineage
2020-09-21,cardi b,1,Non-Asian,Non-Asian
2020-09-28,bts,1,South Korean,Asian
2020-10-05,cardi b,1,Non-Asian,Non-Asian
2020-10-12,jawsh 685 x jason derulo,1,Non-Asian,Non-Asian
2020-10-19,bts,1,South Korean,Asian
2020-10-26,bts,1,South Korean,Asian
2020-11-02,ariana grande,1,Non-Asian,Non-Asian
2020-11-09,ariana grande,1,Non-Asian,Non-Asian
2020-11-16,bad bunny & jhay cortez,1,Non-Asian,Non-Asian
2020-11-23,bad bunny & jhay cortez,1,Non-Asian,Non-Asian
2020-11-30,bts,1,South Korean,Asian
2020-12-07,bad bunny & jhay cortez,1,Non-Asian,Non-Asian
2020-12-14,mariah carey,1,Non-Asian,Non-Asian
2020-12-21,mariah carey,1,Non-Asian,Non-Asian
2020-12-28,mariah carey,1,Non-Asian,Non-Asian
2021-01-04,mariah carey,1,Non-Asian,Non-Asian
2021-01-11,bts,1,South Korean,Asian
2021-01-18,olivia rodrigo,1,Filipino American,Mixed Asian
2021-01-25,olivia rodrigo,1,Filipino American,Mixed Asian
2021-02-01,olivia rodrigo,1,Filipino American,Mixed Asian
2021-02-08,olivia rodrigo,1,Filipino American,Mixed Asian
2021-02-15,olivia rodrigo,1,Filipino American,Mixed Asian
2021-02-22,olivia rodrigo,1,Filipino American,Mixed Asian
2021-03-01,olivia rodrigo,1,Filipino American,Mixed Asian
2021-03-08,olivia rodrigo,1,Filipino American,Mixed Asian
2021-03-15,drake,1,Non-Asian,Non-Asian
2021-03-22,rose,1,Non-Asian,Non-Asian
2021-03-29,justin bieber,1,Non-Asian,Non-Asian
2021-04-05,justin bieber,1,Non-Asian,Non-Asian
2021-04-12,lil nas x,1,Non-Asian,Non-Asian
2021-04-19,lil nas x,1,Non-Asian,Non-Asian
2021-04-26,lil nas x,1,Non-Asian,Non-Asian
2021-05-03,the weeknd & ariana grande,1,Non-Asian,Non-Asian
2021-05-10,lil nas x,1,Non-Asian,Non-Asian
2021-05-17,lil nas x,1,Non-Asian,Non-Asian
2021-05-24,olivia rodrigo,1,Filipino American,Mixed Asian
2021-05-31,bts,1,South Korean,Asian
2021-06-07,bts,1,South Korean,Asian
2021-06-14,olivia rodrigo,1,Filipino American,Mixed Asian
2021-06-21,olivia rodrigo,1,Filipino American,Mixed Asian
2021-06-28,olivia rodrigo,1,Filipino American,Mixed Asian
2021-07-05,olivia rodrigo,1,Filipino American,Mixed Asian
2021-07-12,olivia rodrigo,1,Filipino American,Mixed Asian
2021-07-19,bts,1,South Korean,Asian
2021-07-26,ed sheeran,1,Non-Asian,Non-Asian
