month,country,count
2020-09,South Korean,4
2020-09,Japanese,3
2020-10,South Korean,22
2020-10,Japanese,10
2020-11,South Korean,33
2020-11,Japanese,20
2020-12,South Korean,11
2020-12,Japanese,7
2021-01,Japanese,14
2021-01,South Korean,12
2021-02,Japanese,9
2021-02,South Korean,6
2021-02,Chinese,4
2021-03,Japanese,12
2021-03,South Korean,6
2021-03,Chinese,5
2021-04,South Korean,7
2021-04,Japanese,6
2021-05,South Korean,13
2021-05,Japanese,3
2021-05,Filipino,2
2021-06,South Korean,11
2021-06,Filipino,4
2021-06,Japanese,3
2021-07,South Korean,12
2021-07,Japanese,6
2021-07,Filipino,4
