month,country,count
2020-09,Japanese,15
2020-09,South Korean,7
2020-09,Filipino,4
2020-10,South Korean,14
2020-10,Filipino,5
2020-10,Japanese,5
2020-11,South Korean,11
2020-11,Filipino,3
2020-11,Japanese,3
2020-12,Japanese,4
2020-12,South Korean,2
2021-01,South Korean,5
2021-01,Japanese,4
2021-01,Filipino,3
2021-02,Japanese,5
2021-02,Filipino,4
2021-02,South Korean,4
2021-03,Japanese,2
2021-03,South Korean,2
2021-03,Filipino,1
2021-05,South Korean,4
2021-05,Filipino,3
2021-05,Japanese,1
2021-06,Filipino,4
2021-06,South Korean,4
2021-07,South Korean,7
2021-07,Filipino,4
