month,country,count
2020-09,Japanese American,4
2020-10,Japanese American,6
2020-11,Japanese American,4
2020-12,Japanese American,4
2021-01,Filipino American,6
2021-01,Japanese American,5
2021-02,Filipino American,4
2021-02,Japanese American,4
2021-03,Filipino American,8
2021-03,Japanese American,4
2021-03,Korean American,4
2021-04,Filipino American,20
2021-04,Korean American,5
2021-04,Japanese American,3
2021-05,Filipino American,35
2021-05,Korean American,4
2021-05,Japanese American,1
2021-06,Filipino American,48
2021-06,Korean American,4
2021-07,Filipino American,46
2021-07,Korean American,4
2021-07,Japanese American,1
