,month_yr,lineage,variable,value
0,2020-09,Asian,Spotify Top 200 US,26.0
1,2020-09,Mixed Asian,Spotify Top 200 US,4.0
2,2020-10,Asian,Spotify Top 200 US,24.0
3,2020-10,Mixed Asian,Spotify Top 200 US,6.0
4,2020-11,Asian,Spotify Top 200 US,17.0
5,2020-11,Mixed Asian,Spotify Top 200 US,4.0
6,2020-12,Asian,Spotify Top 200 US,6.0
7,2020-12,Mixed Asian,Spotify Top 200 US,4.0
8,2021-01,Asian,Spotify Top 200 US,12.0
9,2021-01,Mixed Asian,Spotify Top 200 US,11.0
10,2021-02,Asian,Spotify Top 200 US,13.0
11,2021-02,Mixed Asian,Spotify Top 200 US,8.0
12,2021-03,Asian,Spotify Top 200 US,5.0
13,2021-03,Mixed Asian,Spotify Top 200 US,16.0
14,2021-04,Asian,Spotify Top 200 US,
15,2021-04,Mixed Asian,Spotify Top 200 US,28.0
16,2021-05,Asian,Spotify Top 200 US,8.0
17,2021-05,Mixed Asian,Spotify Top 200 US,40.0
18,2021-06,Asian,Spotify Top 200 US,8.0
19,2021-06,Mixed Asian,Spotify Top 200 US,52.0
20,2021-07,Asian,Spotify Top 200 US,11.0
21,2021-07,Mixed Asian,Spotify Top 200 US,51.0
22,2020-09,Asian,Spotify Top 200 Global,20.0
23,2020-09,Mixed Asian,Spotify Top 200 Global,4.0
24,2020-10,Asian,Spotify Top 200 Global,38.0
25,2020-10,Mixed Asian,Spotify Top 200 Global,5.0
26,2020-11,Asian,Spotify Top 200 Global,29.0
27,2020-11,Mixed Asian,Spotify Top 200 Global,4.0
28,2020-12,Asian,Spotify Top 200 Global,14.0
29,2020-12,Mixed Asian,Spotify Top 200 Global,4.0
30,2021-01,Asian,Spotify Top 200 Global,15.0
31,2021-01,Mixed Asian,Spotify Top 200 Global,9.0
32,2021-02,Asian,Spotify Top 200 Global,11.0
33,2021-02,Mixed Asian,Spotify Top 200 Global,8.0
34,2021-03,Asian,Spotify Top 200 Global,8.0
35,2021-03,Mixed Asian,Spotify Top 200 Global,16.0
36,2021-04,Asian,Spotify Top 200 Global,11.0
37,2021-04,Mixed Asian,Spotify Top 200 Global,30.0
38,2021-05,Asian,Spotify Top 200 Global,12.0
39,2021-05,Mixed Asian,Spotify Top 200 Global,40.0
40,2021-06,Asian,Spotify Top 200 Global,14.0
41,2021-06,Mixed Asian,Spotify Top 200 Global,55.0
42,2021-07,Asian,Spotify Top 200 Global,15.0
43,2021-07,Mixed Asian,Spotify Top 200 Global,45.0
44,2020-09,Asian,Billboard Hot 100,4.0
45,2020-09,Mixed Asian,Billboard Hot 100,4.0
46,2020-10,Asian,Billboard Hot 100,5.0
47,2020-10,Mixed Asian,Billboard Hot 100,4.0
48,2020-11,Asian,Billboard Hot 100,11.0
49,2020-11,Mixed Asian,Billboard Hot 100,5.0
50,2020-12,Asian,Billboard Hot 100,6.0
51,2020-12,Mixed Asian,Billboard Hot 100,2.0
52,2021-01,Asian,Billboard Hot 100,4.0
53,2021-01,Mixed Asian,Billboard Hot 100,6.0
54,2021-02,Asian,Billboard Hot 100,5.0
55,2021-02,Mixed Asian,Billboard Hot 100,10.0
56,2021-03,Asian,Billboard Hot 100,5.0
57,2021-03,Mixed Asian,Billboard Hot 100,10.0
58,2021-04,Asian,Billboard Hot 100,2.0
59,2021-04,Mixed Asian,Billboard Hot 100,11.0
60,2021-05,Asian,Billboard Hot 100,3.0
61,2021-05,Mixed Asian,Billboard Hot 100,23.0
62,2021-06,Asian,Billboard Hot 100,8.0
63,2021-06,Mixed Asian,Billboard Hot 100,42.0
64,2021-07,Asian,Billboard Hot 100,10.0
65,2021-07,Mixed Asian,Billboard Hot 100,37.0
66,2020-09,Asian,Billboard Global 200,7.0
67,2020-09,Mixed Asian,Billboard Global 200,2.0
68,2020-10,Asian,Billboard Global 200,32.0
69,2020-10,Mixed Asian,Billboard Global 200,4.0
70,2020-11,Asian,Billboard Global 200,53.0
71,2020-11,Mixed Asian,Billboard Global 200,5.0
72,2020-12,Asian,Billboard Global 200,18.0
73,2020-12,Mixed Asian,Billboard Global 200,2.0
74,2021-01,Asian,Billboard Global 200,26.0
75,2021-01,Mixed Asian,Billboard Global 200,5.0
76,2021-02,Asian,Billboard Global 200,19.0
77,2021-02,Mixed Asian,Billboard Global 200,5.0
78,2021-03,Asian,Billboard Global 200,23.0
79,2021-03,Mixed Asian,Billboard Global 200,5.0
80,2021-04,Asian,Billboard Global 200,13.0
81,2021-04,Mixed Asian,Billboard Global 200,9.0
82,2021-05,Asian,Billboard Global 200,18.0
83,2021-05,Mixed Asian,Billboard Global 200,26.0
84,2021-06,Asian,Billboard Global 200,18.0
85,2021-06,Mixed Asian,Billboard Global 200,43.0
86,2021-07,Asian,Billboard Global 200,22.0
87,2021-07,Mixed Asian,Billboard Global 200,34.0
