artist,country,lineage
Kim Jin-ho ,South Korean,Asian
Solar ,South Korean,Asian
Cool ,South Korean,Asian
Golden Child ,South Korean,Asian
Kim So-hye,South Korean,Asian
Dia ,South Korean,Asian
MC the Max,South Korean,Asian
SG Wannabe,South Korean,Asian
Epaksa,South Korean,Asian
Bohemian,South Korean,Asian
Park Ye-eun,South Korean,Asian
Nell ,South Korean,Asian
Noh Sa-yeon,South Korean,Asian
Iamnot,South Korean,Asian
Jeong Jin-hwan,South Korean,Asian
Lee Jae-hoon ,South Korean,Asian
Purplebeck,South Korean,Asian
Super Junior-H,South Korean,Asian
Gain ,South Korean,Asian
Young Tak,South Korean,Asian
Just B,South Korean,Asian
Rumble Fish,South Korean,Asian
Fanatics ,South Korean,Asian
Lee Ji-hyun,South Korean,Asian
Innovator,South Korean,Asian
Hwanhee,South Korean,Asian
AOA Cream,South Korean,Asian
Jung Chan-woo,South Korean,Asian
Jang Han-byul,South Korean,Asian
Zia ,South Korean,Asian
Hyun Jin-young,South Korean,Asian
Even of Day,South Korean,Asian
Jeon In-kwon,South Korean,Asian
Royal Pirates,South Korean,Asian
Jero,South Korean,Asian
Harisu,South Korean,Asian
Min Do-hee,South Korean,Asian
Deepflow,South Korean,Asian
4L,South Korean,Asian
Jeon Hye-bin,South Korean,Asian
The Barberettes,South Korean,Asian
Lee Joon,South Korean,Asian
In2It,South Korean,Asian
Category:Got7 members,South Korean,Asian
Lim Hyung-joo,South Korean,Asian
Soo Jung Ann,South Korean,Asian
Katie Kim,South Korean,Asian
Lee Ji-hoon,South Korean,Asian
Genius Nochang,South Korean,Asian
Jun Jin,South Korean,Asian
Taeyang,South Korean,Asian
JK Kim Dong-wook,South Korean,Asian
Seo Min-woo,South Korean,Asian
Eli Kim,South Korean,Asian
Kim Joon,South Korean,Asian
VAV,South Korean,Asian
Lee Sun-hee ,South Korean,Asian
Hangzoo,South Korean,Asian
Ahn Hyo-seop,South Korean,Asian
Lucite Tokki,South Korean,Asian
Lee Su-ji,South Korean,Asian
NCT Dream,South Korean,Asian
Seo Ji-young,South Korean,Asian
Shin Seung-hun,South Korean,Asian
Jang Dong-gun,South Korean,Asian
Yoo Se-hyung,South Korean,Asian
KCM,South Korean,Asian
Uee,South Korean,Asian
Everglow,South Korean,Asian
R.ef,South Korean,Asian
Nana,South Korean,Asian
Jang Hye-jin,South Korean,Asian
Wonder Girls,South Korean,Asian
Category:F,South Korean,Asian
Umji,South Korean,Asian
Rainz ,South Korean,Asian
Kasper,South Korean,Asian
Bumkey,South Korean,Asian
Lee Hae-in,South Korean,Asian
Stellar ,South Korean,Asian
Dahyun,South Korean,Asian
List of female K-pop artists,South Korean,Asian
The Geeks ,South Korean,Asian
Lee Chang-sub,South Korean,Asian
Joon Park,South Korean,Asian
Swingz,South Korean,Asian
Skull ,South Korean,Asian
Minnie,South Korean,Asian
Ladies' Code,South Korean,Asian
Saturday,South Korean,Asian
Maya ,South Korean,Asian
Kid Milli,South Korean,Asian
Lee Min-woo,South Korean,Asian
Kim Jae-joong,South Korean,Asian
Category:Apink members,South Korean,Asian
Jo Woo-chan,South Korean,Asian
Apeace,South Korean,Asian
Kim Jong-hyun ,South Korean,Asian
Suran,South Korean,Asian
Fromis 9,South Korean,Asian
Boys24,South Korean,Asian
Walking After U,South Korean,Asian
Patti Kim ,South Korean,Asian
Super Junior-T,South Korean,Asian
Kim Cheon-heung,South Korean,Asian
Jung Yong-hwa,South Korean,Asian
Big Mama ,South Korean,Asian
Kwak Hee-sung,South Korean,Asian
I.O.I,South Korean,Asian
Sunny,South Korean,Asian
Outsider,South Korean,Asian
Choi Jung-moon,South Korean,Asian
Jaehyun,South Korean,Asian
Lexy,South Korean,Asian
M4M,South Korean,Asian
Secret,South Korean,Asian
Kang Mi-na,South Korean,Asian
Say Sue Me,South Korean,Asian
NRG,South Korean,Asian
The Legend,South Korean,Asian
B.I.G ,South Korean,Asian
Triple H ,South Korean,Asian
Penomeco,South Korean,Asian
MLMA,South Korean,Asian
Yura,South Korean,Asian
Pristin,South Korean,Asian
Oh My Girl,South Korean,Asian
Microdot,South Korean,Asian
Sixteen,South Korean,Asian
QBS ,South Korean,Asian
David Oh,South Korean,Asian
AKMU,South Korean,Asian
Kim Se-yong,South Korean,Asian
Fei,South Korean,Asian
YB ,South Korean,Asian
Jo Hyun-jae,South Korean,Asian
Yerin ,South Korean,Asian
Girls' Generation-TTS,South Korean,Asian
Wassup ,South Korean,Asian
,South Korean,Asian
Lee Ahyumi,South Korean,Asian
Winterplay,South Korean,Asian
Sumi Hwang,South Korean,Asian
Category:Shinhwa members,South Korean,Asian
Han Terra,South Korean,Asian
High4,South Korean,Asian
Big Mama,South Korean,Asian
The Legend ,South Korean,Asian
Ibadi ,South Korean,Asian
Galaxy Express,South Korean,Asian
Gummy,South Korean,Asian
Seo Hye-lin,South Korean,Asian
Mino,South Korean,Asian
Niel,South Korean,Asian
H&D,South Korean,Asian
Girl Friends ,South Korean,Asian
Gilme,South Korean,Asian
WJMK ,South Korean,Asian
Mr.Mr,South Korean,Asian
Myteen,South Korean,Asian
Hwang In-sun,South Korean,Asian
Jaurim,South Korean,Asian
Lim Na-young,South Korean,Asian
List of male K-pop artists,South Korean,Asian
Im Hyun-sik,South Korean,Asian
Kim Si-hyeon,South Korean,Asian
Lee Je-no,South Korean,Asian
